ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1973,1043,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1974,1516,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1975,703,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1976,1694,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1977,1054,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1978,6743,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1979,4557,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1980,37,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1981,163,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1982,9,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1983,-99,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1984,-99,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1985,9,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1986,0,-99,-99,0,-99,-99,-99,-99,0,-99
