ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1997,307,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1998,104,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,1999,217,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2000,304,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2001,526,0.7
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2002,1296,0.77
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2003,714,0.98
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2004,886,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2005,598,1
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2006,427,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2007,237,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2008,379,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2009,596,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2010,426,0.887
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2011,870,0.951
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2012,566,0.959
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2013,1540,0.936
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2014,942,0.909
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1964,3312,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1965,5707,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1966,4782,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1967,5487,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1968,2303,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1969,4260,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1970,9706,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1971,22758,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1972,21027,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1973,8390,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1974,7566,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1975,4766,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1976,3726,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1977,5837,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1978,3192,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1979,8253,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1980,2418,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1981,3991,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1982,3024,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1983,3654,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1984,2577,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1985,4300,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1986,2229,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1987,5930,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1988,7700,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1989,7220,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1990,2698,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1991,2567,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1992,2683,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1993,2218,0.06
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1994,2512,0.19
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1995,2231,0.13
